PMDG_ID,PMDG_TITLE,APPLICABLE_MEL
APU_CORE_FAIL,APU CORE FAIL,49-11-01
APU_GEN_REJECT,APU GEN REJECT,24-21-01
PACK_L_FAIL,PACK L FAIL,"21-51-01,21-51-02-01,21-51-02-02,21-52-01"
PACK_R_FAIL,PACK R FAIL,"21-51-01,21-51-02-01,21-51-02-02,21-52-01"
CABIN_TEMP_CTRL_L,CABIN TEMP CTRL L,"21-61-01,21-61-02-01"
EQUIP_COOLING_FAULT,EQUIP COOLING FAULT,"21-27-02,21-27-03,21-27-08,21-27-17-01"
OUTFLOW_VALVE_FWD_FAIL,OUTFLOW VALVE FWD FAIL,"21-31-01-01B,21-31-02-01,21-31-03-02"
TRIM_AIR_VALVE_FAIL,TRIM AIR VALVE FAIL,"21-62-02-01A,21-62-02-01B"
IDG_1_DISCONNECT,IDG 1 DISCONNECT,24-11-01
BACKUP_GEN_L_FAULT,BACKUP GEN L FAULT,"24-25-01A,24-25-01B"
HYD_PUMP_ENG_1_FAIL,HYD PUMP ENG 1 FAIL,29-11-01
HYD_ELEC_PUMP_C1_FAIL,HYD ELEC PUMP C1 FAIL,29-11-02
EEC_L_ALTERNATOR_FAIL,EEC L ALTERNATOR FAIL,"73-21-02-02-02,73-21-02-03"
FUEL_PUMP_L_FWD_FAIL,FUEL PUMP L FWD FAIL,28-22-01
JETTISON_PUMP_MAIN_L_FAIL,JETTISON PUMP MAIN L FAIL,"28-31-03-01,28-31-03-02"
RECIRC_FAN_FWD_FAIL,RECIRC FAN FWD FAIL,21-25-01-01
CARGO_HEAT_AFT_VALVE_FAIL,CARGO HEAT AFT VALVE FAIL,21-44-01
BULK_CARGO_HEAT_VALVE_FAIL,BULK CARGO HEAT VALVE FAIL,21-44-03
ASCPC_SOFTWARE_CRASH,ASCPC SOFTWARE CRASH,36-00-01-01
